year,id,samptype,panelid,panelwave,intage,intsex,intethn,intyrs,lngthinv,coop,comprend,daysint,spaneng,mode,feeused,egp10_11,spegp10_11,paegp10_11,maegp10_11,parborn,family16,reg16,incom16,age,sex,born,relig,class,spdeg,madeg,padeg,wrkstat,degree,uscitzn,realinc,realrinc,region,wordsum,dwelown,size,xnorcsiz,marital,racehisp5,evercitzn
2006,2939,2006,20062939,1,61,2,1,2,93,1,1,90,1,1,1,5,1,5,5,0,1,8,4,58,2,1,2,3,,1,1,5,1,,10.55513,,8,8,,17,7,2,1,1
2006,4404,2006,20064404,1,53,2,1,2,200,2,3,140,1,1,1,1,,1,3,8,8,0,2,64,2,2,2,3,,3,3,2,1,,,,9,7,,3695,1,2,4,1
2006,1590,2006,20061590,1,56,2,1,.4,141,1,1,70,1,2,3,,,8,10,0,1,9,3,20,2,1,2,3,,1,1,4,1,,,,9,,1,91,2,5,3,1
2006,1380,2006,20061380,1,54,1,1,.4,79,1,1,56,1,1,3,9,,7,,0,4,5,3,23,1,1,1,2,,,1,1,1,,10.35033,9.824242,5,,1,7,6,5,1,1
2006,2758,2006,20062758,1,52,1,4,2,113,2,2,2,1,1,3,10,5,9,,0,1,5,4,39,1,1,2,2,0,0,0,1,1,,10.55513,9.967342,5,,1,4,5,1,2,1
2006,2961,2006,20062961,1,49,2,1,.4,102,1,2,74,1,1,2,3,,10,4,0,0,9,1,71,2,1,4,1,,,,5,0,,8.357904,,9,4,1,5,2,2,1,1
2006,4026,2006,20064026,1,59,2,2,1,121,1,1,30,1,1,3,11,10,9,4,0,3,5,1,39,2,1,1,2,1,0,0,1,1,,9.657187,9.131094,5,6,2,3,10,1,1,1
2006,194,2006,2006194,1,42,2,3,.4,63,1,1,71,2,1,3,4,,8,,8,1,0,1,34,1,2,4,2,0,0,0,1,1,,9.824242,9.824242,2,5,2,12,3,1,3,0
2006,2416,2006,20062416,1,65,2,1,.4,70,1,1,61,1,1,1,8,,3,,2,1,3,3,44,1,1,1,3,,1,3,1,1,,10.14966,10.14966,5,6,2,71,2,3,1,1
2006,2501,2006,20062501,1,51,2,2,2,107,1,1,50,1,1,1,8,5,10,10,0,8,5,3,52,2,1,4,3,1,,,7,1,,11.13049,,5,8,1,132,2,1,2,1
