year,id,wt_pooled,wt_pooled_insc,wt_no_pooling,wt_no_pooling_insc,wt_shrunken,wt_shrunken_insc
2006,1055,.5835924,.5399963,.6074291,.5693839,.5914516,.5481598
2006,1057,1.180659,1.177158,1.173206,1.154255,1.182496,1.173396
2006,1061,1.475226,1.41036,1.49287,1.448472,1.48549,1.423157
2006,1065,1.311403,1.166794,1.499138,1.271378,1.355989,1.192987
2006,1081,5.817884,5.141175,4.890033,4.339345,5.578115,4.935542
2006,1083,1.960542,1.262665,2.702656,1.41354,2.105266,1.300776
2006,1088,3.600488,3.607291,3.582023,3.494225,3.613314,3.593528
2006,1089,1.766829,1.611994,1.70232,1.534067,1.760874,1.599502
2006,1093,1.672028,1.48163,1.500312,1.348954,1.640859,1.455507
2006,1094,1.810708,1.751545,1.910602,1.799052,1.840059,1.767522
2006,1101,2.629184,1.611663,4.716505,2.140634,2.933474,1.719123
2006,1102,2.461687,2.426966,2.466247,2.345695,2.474182,2.415746
2006,1107,1.575287,1.206325,1.850102,1.253002,1.637935,1.220552
2006,1108,1.454614,1.451794,1.438471,1.395997,1.458253,1.444365
2006,1109,8.078451,8.045069,6.82158,6.64162,7.810745,7.731119
2006,1111,3.11197,3.064592,3.013881,2.867098,3.105568,3.029392
2006,1120,1.491872,1.436256,1.437786,1.387028,1.487595,1.430539
2006,1121,2.937462,2.562855,3.087715,2.688957,2.982772,2.598305
2006,1123,2.830631,2.670675,3.678065,3.505957,3.00667,2.852553
2006,1141,1.459749,1.425363,1.484697,1.402776,1.471534,1.423226
2006,1144,.8105389,.7603965,.7958003,.7223186,.8099131,.7527016
2006,1145,3.307693,3.280283,3.149448,3.155735,3.28056,3.257117
2006,1156,1.283983,1.263552,1.231754,1.225209,1.274967,1.256372
2006,1157,3.11432,3.119115,2.882748,2.958621,3.066507,3.084966
2006,1162,3.047487,2.949647,3.337581,3.293444,3.130874,3.0456
2006,1163,1.666581,1.594813,1.933822,1.699266,1.734111,1.623843
2006,1164,1.866188,1.841047,1.486645,1.47021,1.753239,1.732764
2006,1182,6.361032,6.296916,6.428353,6.432577,6.403403,6.346201
2006,1183,3.62157,3.303073,3.968384,3.26176,3.721744,3.29772
2006,1184,1.180689,1.126217,1.275339,1.185588,1.208485,1.143503
2006,1185,1.216761,1.169318,1.308038,1.267554,1.24364,1.19572
2006,1186,.8494007,.7982605,1.135289,1.029882,.913714,.8500683
2006,1187,.9744362,.903457,1.475359,1.422775,1.067198,1.00181
2006,1188,2.654129,2.539596,2.665029,2.588961,2.6667,2.557773
2006,1189,1.529609,1.475867,1.667778,1.586089,1.571856,1.508736
2006,1199,1.429787,1.377445,1.720515,1.594998,1.509604,1.437548
2006,1208,1.084925,1.049756,1.097436,1.059078,1.09193,1.05436
2006,1210,1.039823,.8613392,.8944486,.7629259,1.004927,.8377974
2006,1211,.6931745,.6664887,.7802472,.7323477,.7187693,.6856463
2006,1212,.69159,.6593103,.7081603,.6697229,.6983083,.6634464
2006,1216,.6585312,.6254439,.7118926,.6776668,.6734575,.639029
2006,1219,6.430836,5.89482,4.006561,4.000198,5.562801,5.264948
2006,1220,.5689762,.5576518,.6091841,.588634,.581405,.5668057
2006,1221,1.333216,1.322361,1.529382,1.555832,1.386198,1.381977
2006,1223,4.124627,4.081235,4.756392,4.750953,4.29108,4.248562
2006,1225,2.936855,2.879491,3.105509,3.098374,2.990015,2.940212
2006,1227,1.36603,1.239866,1.41247,1.267024,1.382579,1.249626
2006,1228,3.013263,2.779379,3.284197,3.041487,3.085584,2.844733
2006,1229,4.330069,3.823364,3.212888,3.015602,3.995748,3.599403
2006,1231,3.442279,3.264726,3.278818,3.125303,3.413836,3.237525
2006,1234,1.197283,1.114156,1.312895,1.197555,1.228247,1.136432
2006,1235,1.783051,1.666353,1.760063,1.659904,1.78419,1.66864
2006,1236,1.741838,1.644204,1.83068,1.683675,1.769381,1.657984
2006,1237,2.84041,2.623164,3.126226,2.919228,2.925203,2.706807
2006,1244,1.808541,1.473823,1.335472,1.197403,1.648707,1.390785
2006,1247,2.93103,2.284013,2.100822,1.821855,2.67444,2.16064
2006,1257,1.219124,1.007867,1.127895,.9751281,1.199348,1.001656
2006,1264,.6067441,.5855892,.5822887,.5705732,.6037635,.5841391
2006,1265,1.235225,1.193335,1.256238,1.185036,1.245352,1.194933
2006,1270,1.072186,1.045833,1.075005,1.040747,1.077131,1.047297
2006,1283,1.956645,1.938636,1.955679,1.911837,1.96371,1.936316
2006,1289,.6138194,.5975552,.6156151,.5832296,.6166797,.5955806
2006,1291,1.66533,1.580821,1.773055,1.650035,1.69793,1.601634
2006,1292,1.640292,1.204112,1.582649,1.119445,1.630079,1.183546
2006,1295,1.10008,1.062667,1.411618,1.320368,1.169267,1.119543
2006,1296,2.965135,1.944494,3.037175,1.817033,2.994124,1.914456
2006,1297,1.195811,1.139751,1.197941,1.132034,1.201123,1.140937
2006,1298,2.270087,2.173493,2.175439,2.10682,2.255492,2.161174
2006,1300,1.179038,1.121705,1.124235,1.07151,1.169137,1.111538
2006,1301,1.035188,.9972292,.9911654,.9613646,1.028413,.9910805
2006,1302,1.603177,1.573523,1.559843,1.531926,1.598276,1.566736
2006,1303,2.247726,2.141648,2.254751,2.138406,2.257541,2.145316
2006,1304,1.108193,1.037318,1.051084,.985373,1.097423,1.026629
2006,1307,2.382141,2.359707,2.161566,2.11153,2.338343,2.305879
2006,1308,.9878188,.9420491,.9216651,.8861343,.9751998,.9308028
2006,1309,1.147298,1.169429,1.210834,1.230852,1.16684,1.186874
2006,1324,1.263029,1.2284,1.284672,1.254092,1.273369,1.237807
2006,1326,.6640274,.6370272,.6955566,.6738052,.6738708,.6469845
2006,1328,.5833044,.5468023,.5578648,.5316935,.5804864,.5453647
2006,1330,1.376557,1.304381,1.52705,1.460582,1.416785,1.343213
2006,1342,1.541438,1.182948,1.46059,1.085768,1.525509,1.158893
2006,1345,3.175225,2.646778,2.760359,2.46006,3.070455,2.603568
